ticker,date,open,close,high,low,volume,company_name,sector_name
AAPL,2025-03-25,219.811973431508,222.779037475586,223.127524728555,219.124965253844,34493600,Apple Inc.,Technology
AAPL,2025-03-26,222.54006804397,220.568664550781,224.043525089507,219.513266874555,34466100,Apple Inc.,Technology
AAPL,2025-03-27,220.429299828814,222.878631591797,224.013684069137,219.602899706945,37094800,Apple Inc.,Technology
AAPL,2025-03-28,220.708050901856,216.954406738281,222.83876366462,216.735360223108,39818600,Apple Inc.,Technology
AAPL,2025-03-31,216.06828445549,221.166076660156,224.640922159422,215.291670463572,65299300,Apple Inc.,Technology
AAPL,2025-04-01,218.856128763734,222.221466064453,222.709329978827,217.950074076222,36412700,Apple Inc.,Technology
AAPL,2025-04-02,220.359586954335,222.918426513672,224.212788189275,220.0608857688,35905900,Apple Inc.,Technology
AAPL,2025-04-03,204.648051100261,202.308258056641,206.58960121618,200.376674268901,103419000,Apple Inc.,Technology
AAPL,2025-04-04,193.04861442273,187.562530517578,199.012626308233,186.52703508606,125910900,Apple Inc.,Technology
AAPL,2025-04-07,176.431038177452,180.672561645508,193.307480672858,173.862232255375,160466300,Apple Inc.,Technology
AAPL,2025-04-08,185.889814325938,171.671783447266,189.51401797751,168.475721715472,120859500,Apple Inc.,Technology
AAPL,2025-04-09,171.203815234493,197.987091064453,199.739448026999,171.144078036945,184395900,Apple Inc.,Technology
AAPL,2025-04-10,188.249525973874,189.593658447266,193.93473855701,182.205859833413,121880000,Apple Inc.,Technology
AAPL,2025-04-11,185.292433220256,197.290130615234,198.674098162981,185.252598290675,87435900,Apple Inc.,Technology
AAPL,2025-04-14,210.522464400059,201.641174316406,212.015955191555,200.28707539108,101352900,Apple Inc.,Technology
AAPL,2025-04-15,200.984018414304,201.262802124023,202.626852074622,198.932960324549,51343900,Apple Inc.,Technology
AAPL,2025-04-16,197.499219273207,193.426971435547,199.829061219232,191.535207351942,59732400,Apple Inc.,Technology
AAPL,2025-04-17,196.34424488668,196.125198364258,197.967176341194,193.576309949793,52164700,Apple Inc.,Technology
AAPL,2025-04-21,192.431300601622,192.32177734375,192.958999427942,188.986308738833,46742500,Apple Inc.,Technology
AAPL,2025-04-22,195.268943689888,198.873245239258,200.715208155226,195.119600683281,52976400,Apple Inc.,Technology
AAPL,2025-04-23,205.106046194304,203.712127685547,207.097367031142,201.919935893878,52929200,Apple Inc.,Technology
AAPL,2025-04-24,204.000880233139,207.465774536133,207.923785053101,202.059345287176,47311000,Apple Inc.,Technology
AAPL,2025-04-25,205.474435452582,208.371810913086,208.839772524614,205.305175004753,38222300,Apple Inc.,Technology
AAPL,2025-04-28,209.088711770884,209.228103637695,210.582202569248,206.559740703721,38743100,Apple Inc.,Technology
AAPL,2025-04-29,207.784388363366,210.29345703125,211.318986112028,207.465769716777,36827600,Apple Inc.,Technology
AAPL,2025-04-30,208.391739869282,211.577850341797,212.653165474878,205.773147965781,52286500,Apple Inc.,Technology
AAPL,2025-05-01,208.172696434179,212.394302368164,213.628911648733,207.99346964639,57365700,Apple Inc.,Technology
AAPL,2025-05-02,205.195687193857,204.458908081055,206.091790839734,201.282748370511,101010600,Apple Inc.,Technology
AAPL,2025-05-05,202.218638317502,198.026901245117,203.214298742123,197.34985944881,69018500,Apple Inc.,Technology
AAPL,2025-05-06,197.349873575604,197.648559570312,199.77927242382,196.16503515468,51216500,Apple Inc.,Technology
AAPL,2025-05-07,198.305687865604,195.398361206055,198.574520438127,192.411379888255,68536700,Apple Inc.,Technology
AAPL,2025-05-08,196.861993264209,196.632995605469,199.181884028617,193.83517686729,50478900,Apple Inc.,Technology
AAPL,2025-05-09,198.136433927283,197.668472290039,199.669744369426,196.682762953436,36453900,Apple Inc.,Technology
AAPL,2025-05-12,210.329943990205,210.150482177734,210.629036869325,206.122745738068,63775800,Apple Inc.,Technology
AAPL,2025-05-13,209.791581188662,212.283996582031,212.752571892984,208.365926885653,51909300,Apple Inc.,Technology
AAPL,2025-05-14,211.785524285304,211.685836791992,213.290952995538,209.941145927812,49325800,Apple Inc.,Technology
AAPL,2025-05-15,210.310019091946,210.808502197266,212.31393091133,208.904293083944,45029500,Apple Inc.,Technology
AAPL,2025-05-16,211.715733186044,210.619064331055,211.925102771995,209.133594496792,54737900,Apple Inc.,Technology
AAPL,2025-05-19,207.279235505662,208.146591186523,208.844464447705,203.640299937543,46140500,Apple Inc.,Technology
AAPL,2025-05-20,207.039962036117,206.232421875,207.837538012065,204.407971964236,42496600,Apple Inc.,Technology
AAPL,2025-05-21,204.547555952753,201.476898193359,206.411877901761,200.101095164879,59211800,Apple Inc.,Technology
AAPL,2025-05-22,200.101077834571,200.749099731445,202.134882038027,199.094132311356,46742400,Apple Inc.,Technology
AAPL,2025-05-23,193.082429883275,194.677581787109,197.100202197469,192.87307551355,78432900,Apple Inc.,Technology
AAPL,2025-05-27,197.698391095266,199.602600097656,200.130990941514,196.831020198041,56288500,Apple Inc.,Technology
AAPL,2025-05-28,199.981448372549,199.811965942383,202.114955453019,199.293539253788,45339700,Apple Inc.,Technology
AAPL,2025-05-29,202.962375874859,199.343383789062,203.191673835771,197.907750062053,51396800,Apple Inc.,Technology
AAPL,2025-05-30,198.765140734348,200.240661621094,201.347294679905,196.183002001287,70819900,Apple Inc.,Technology
AAPL,2025-06-02,199.672383592569,201.088073730469,201.516777094672,199.512865354145,35423300,Apple Inc.,Technology
AAPL,2025-06-03,200.739147066313,202.6533203125,203.151803404085,200.350330863376,46381600,Apple Inc.,Technology
AAPL,2025-06-04,202.294389433227,202.204666137695,205.614288280336,201.486849348456,43604000,Apple Inc.,Technology
AAPL,2025-06-05,202.882604410484,200.02131652832,204.128812054283,199.542761840105,55126100,Apple Inc.,Technology
AAPL,2025-06-06,202.384123556085,203.301330566406,205.075929053494,201.437008778987,46607700,Apple Inc.,Technology
AAPL,2025-06-09,203.769904231797,200.838821411133,205.375020290137,199.413167164515,72862600,Apple Inc.,Technology
AAPL,2025-06-10,199.99141796231,202.055130004883,203.730041065699,199.961510194483,54672600,Apple Inc.,Technology
AAPL,2025-06-11,202.882606999208,198.17692565918,203.879573126968,197.808053059907,60989900,Apple Inc.,Technology
AAPL,2025-06-12,198.476026276637,198.595657348633,199.074196849112,196.761243253047,43904600,Apple Inc.,Technology
AAPL,2025-06-13,199.124051774472,195.85400390625,199.762109524065,195.106279267861,51447300,Apple Inc.,Technology
AAPL,2025-06-16,196.701426450214,197.818023681641,198.087208804394,195.963666015166,43020700,Apple Inc.,Technology
AAPL,2025-06-17,196.60171244036,195.046447753906,197.788104536755,194.617759631677,38856200,Apple Inc.,Technology
AAPL,2025-06-18,195.3455543185,195.983612060547,196.970614048047,194.478198616225,45394700,Apple Inc.,Technology
AAPL,2025-06-20,197.638576634381,200.390197753906,201.088071021993,196.26275846837,96813500,Apple Inc.,Technology
